**TRAINING STARTED**
Read uni files, total data (1100, 64, 64, 1)
Split into 990 training and 110 validation samples
Starting training...
Epoch 9/10000: cost 125.448792 , validation cost 1412.898682 
Epoch 19/10000: cost 132.812927 , validation cost 1356.315430 
Epoch 29/10000: cost 147.686951 , validation cost 1266.128296 
Epoch 39/10000: cost 77.901932 , validation cost 1164.111938 
Epoch 49/10000: cost 106.028152 , validation cost 1099.075928 
Epoch 59/10000: cost 137.169403 , validation cost 1068.993896 
Epoch 69/10000: cost 85.386185 , validation cost 1043.975952 
Epoch 79/10000: cost 123.187347 , validation cost 1020.522705 
Epoch 89/10000: cost 78.682320 , validation cost 1006.069824 
Epoch 99/10000: cost 79.330444 , validation cost 998.745850 
Epoch 109/10000: cost 121.527725 , validation cost 992.986328 
Epoch 119/10000: cost 118.881676 , validation cost 983.399536 
Epoch 129/10000: cost 111.960587 , validation cost 972.805908 
Epoch 139/10000: cost 111.390869 , validation cost 969.437500 
Epoch 149/10000: cost 111.034439 , validation cost 973.074036 
Epoch 159/10000: cost 84.555847 , validation cost 966.848816 
Epoch 169/10000: cost 98.190392 , validation cost 960.614502 
Epoch 179/10000: cost 122.439232 , validation cost 955.616821 
Epoch 189/10000: cost 83.652679 , validation cost 950.418091 
Epoch 199/10000: cost 66.141495 , validation cost 950.718018 
Epoch 209/10000: cost 68.084579 , validation cost 949.212769 
Epoch 219/10000: cost 64.880669 , validation cost 943.180054 
Epoch 229/10000: cost 63.321945 , validation cost 942.503052 
Epoch 239/10000: cost 91.238243 , validation cost 943.078430 
Epoch 249/10000: cost 88.439529 , validation cost 944.907104 
Epoch 259/10000: cost 63.500908 , validation cost 942.236694 
Epoch 269/10000: cost 74.734924 , validation cost 938.442566 
Epoch 279/10000: cost 91.581314 , validation cost 937.811584 
Epoch 289/10000: cost 64.446808 , validation cost 932.373962 
Epoch 299/10000: cost 80.227249 , validation cost 934.764404 
Epoch 309/10000: cost 129.299133 , validation cost 938.055725 
Epoch 319/10000: cost 76.601601 , validation cost 930.465942 
Epoch 329/10000: cost 77.840553 , validation cost 929.380676 
Epoch 339/10000: cost 80.736801 , validation cost 927.775696 
Epoch 349/10000: cost 65.453369 , validation cost 928.828247 
Epoch 359/10000: cost 88.079758 , validation cost 922.914612 
Epoch 369/10000: cost 77.975204 , validation cost 926.522705 
Epoch 379/10000: cost 91.013039 , validation cost 925.231873 
Epoch 389/10000: cost 90.582420 , validation cost 917.781616 
Epoch 399/10000: cost 64.721832 , validation cost 918.759155 
Epoch 409/10000: cost 75.485641 , validation cost 914.490234 
Epoch 419/10000: cost 54.203663 , validation cost 914.763367 
Epoch 429/10000: cost 70.903160 , validation cost 912.507446 
Epoch 439/10000: cost 53.454182 , validation cost 914.839355 
Epoch 449/10000: cost 65.575272 , validation cost 909.284058 
Epoch 459/10000: cost 90.585663 , validation cost 913.196045 
Epoch 469/10000: cost 81.353134 , validation cost 914.977539 
Epoch 479/10000: cost 61.026993 , validation cost 911.502930 
Epoch 489/10000: cost 67.357185 , validation cost 901.754089 
Epoch 499/10000: cost 62.985214 , validation cost 898.302490 
Epoch 509/10000: cost 77.781677 , validation cost 895.284058 
Epoch 519/10000: cost 53.932655 , validation cost 898.916321 
Epoch 529/10000: cost 55.172070 , validation cost 894.899170 
Epoch 539/10000: cost 42.044830 , validation cost 889.657166 
Epoch 549/10000: cost 50.064636 , validation cost 888.796021 
Epoch 559/10000: cost 57.409206 , validation cost 889.374817 
Epoch 569/10000: cost 39.700485 , validation cost 889.842346 
Epoch 579/10000: cost 39.903267 , validation cost 888.674438 
Epoch 589/10000: cost 55.590290 , validation cost 893.027771 
Epoch 599/10000: cost 59.014652 , validation cost 882.723083 
Epoch 609/10000: cost 59.113453 , validation cost 884.758240 
Epoch 619/10000: cost 68.016792 , validation cost 890.813293 
Epoch 629/10000: cost 75.868698 , validation cost 887.101074 
Epoch 639/10000: cost 71.057266 , validation cost 882.446167 
Epoch 649/10000: cost 63.517529 , validation cost 886.022522 
Epoch 659/10000: cost 66.104263 , validation cost 887.096436 
Epoch 669/10000: cost 66.735939 , validation cost 890.002258 
Epoch 679/10000: cost 61.700409 , validation cost 879.579773 
Epoch 689/10000: cost 49.509109 , validation cost 876.222412 
Epoch 699/10000: cost 46.772427 , validation cost 870.900024 
Epoch 709/10000: cost 55.670876 , validation cost 886.123047 
Epoch 719/10000: cost 77.354500 , validation cost 881.570007 
Epoch 729/10000: cost 49.536606 , validation cost 877.770081 
Epoch 739/10000: cost 57.799259 , validation cost 879.994141 
Epoch 749/10000: cost 51.831268 , validation cost 879.966553 
Epoch 759/10000: cost 45.624817 , validation cost 873.124695 
Epoch 769/10000: cost 55.213951 , validation cost 871.490540 
Epoch 779/10000: cost 67.052979 , validation cost 870.068481 
Epoch 789/10000: cost 52.173180 , validation cost 876.584412 
Epoch 799/10000: cost 56.129150 , validation cost 873.793457 
Epoch 809/10000: cost 66.614426 , validation cost 873.387390 
Epoch 819/10000: cost 39.009125 , validation cost 868.382019 
Epoch 829/10000: cost 50.345291 , validation cost 870.961914 
Epoch 839/10000: cost 58.576302 , validation cost 877.441895 
Epoch 849/10000: cost 52.382339 , validation cost 874.414795 
Epoch 859/10000: cost 40.365406 , validation cost 880.614441 
Epoch 869/10000: cost 50.209785 , validation cost 875.652527 
Epoch 879/10000: cost 50.646759 , validation cost 874.630310 
Epoch 889/10000: cost 63.111992 , validation cost 867.596375 
Epoch 899/10000: cost 36.919437 , validation cost 867.933594 
Epoch 909/10000: cost 63.669044 , validation cost 875.329834 
Epoch 919/10000: cost 45.718071 , validation cost 866.344482 
Epoch 929/10000: cost 55.790474 , validation cost 875.163086 
Epoch 939/10000: cost 55.174011 , validation cost 866.167480 
Epoch 949/10000: cost 41.455284 , validation cost 854.606018 
Epoch 959/10000: cost 49.434959 , validation cost 869.355713 
Epoch 969/10000: cost 50.263885 , validation cost 868.274109 
Epoch 979/10000: cost 50.347603 , validation cost 872.885254 
Epoch 989/10000: cost 39.780167 , validation cost 878.963989 
Epoch 999/10000: cost 71.820015 , validation cost 864.754211 
Epoch 1009/10000: cost 58.825722 , validation cost 869.322754 
Epoch 1019/10000: cost 50.486774 , validation cost 877.311523 
Epoch 1029/10000: cost 48.614880 , validation cost 867.229492 
Epoch 1039/10000: cost 50.775631 , validation cost 886.989563 
Epoch 1049/10000: cost 48.005821 , validation cost 885.696777 
Epoch 1059/10000: cost 39.507133 , validation cost 877.947754 
Epoch 1069/10000: cost 52.789040 , validation cost 870.465637 
Epoch 1079/10000: cost 40.579346 , validation cost 873.371155 
Epoch 1089/10000: cost 69.215942 , validation cost 864.517334 
Epoch 1099/10000: cost 65.174301 , validation cost 872.788879 
Epoch 1109/10000: cost 46.139267 , validation cost 874.085693 
Epoch 1119/10000: cost 62.158791 , validation cost 865.252625 
Epoch 1129/10000: cost 41.314651 , validation cost 872.303345 
Epoch 1139/10000: cost 46.456932 , validation cost 873.551147 
Epoch 1149/10000: cost 61.643379 , validation cost 859.083252 
Epoch 1159/10000: cost 50.301323 , validation cost 873.621948 
Epoch 1169/10000: cost 53.887169 , validation cost 875.419067 
Epoch 1179/10000: cost 37.944893 , validation cost 867.266052 
Epoch 1189/10000: cost 34.820667 , validation cost 860.174622 
Epoch 1199/10000: cost 38.145920 , validation cost 863.872437 
Epoch 1209/10000: cost 48.160046 , validation cost 866.261230 
Epoch 1219/10000: cost 37.845364 , validation cost 867.479187 
Epoch 1229/10000: cost 34.863667 , validation cost 865.743896 
Epoch 1239/10000: cost 46.001614 , validation cost 878.385010 
Epoch 1249/10000: cost 65.257980 , validation cost 871.556396 
Epoch 1259/10000: cost 52.842091 , validation cost 856.605103 
Epoch 1269/10000: cost 42.612885 , validation cost 864.747498 
Epoch 1279/10000: cost 42.785648 , validation cost 864.068481 
Epoch 1289/10000: cost 36.618534 , validation cost 859.350159 
Epoch 1299/10000: cost 37.006859 , validation cost 856.548584 
Epoch 1309/10000: cost 38.647011 , validation cost 859.618774 
Epoch 1319/10000: cost 48.937206 , validation cost 864.719543 
Epoch 1329/10000: cost 45.261360 , validation cost 858.915100 
Epoch 1339/10000: cost 44.169949 , validation cost 868.497070 
Epoch 1349/10000: cost 43.575005 , validation cost 872.750854 
Epoch 1359/10000: cost 73.169472 , validation cost 867.054138 
Epoch 1369/10000: cost 49.339836 , validation cost 872.547729 
Epoch 1379/10000: cost 54.292931 , validation cost 871.033813 
Epoch 1389/10000: cost 46.213554 , validation cost 870.841003 
Epoch 1399/10000: cost 65.410309 , validation cost 865.331238 
Epoch 1409/10000: cost 46.074848 , validation cost 864.443970 
Epoch 1419/10000: cost 47.690125 , validation cost 866.999573 
Epoch 1429/10000: cost 53.869667 , validation cost 864.672546 
Epoch 1439/10000: cost 46.105179 , validation cost 860.369934 
Epoch 1449/10000: cost 55.169548 , validation cost 875.327759 
Epoch 1459/10000: cost 48.651443 , validation cost 869.287537 
Epoch 1469/10000: cost 54.921249 , validation cost 864.546143 
Epoch 1479/10000: cost 27.951559 , validation cost 857.742371 
Epoch 1489/10000: cost 45.378822 , validation cost 861.017090 
Epoch 1499/10000: cost 44.586693 , validation cost 855.764404 
Epoch 1509/10000: cost 48.665886 , validation cost 865.488770 
Epoch 1519/10000: cost 54.758339 , validation cost 875.216248 
Epoch 1529/10000: cost 54.896568 , validation cost 857.816956 
Epoch 1539/10000: cost 59.060268 , validation cost 860.569641 
Epoch 1549/10000: cost 52.436779 , validation cost 864.984314 
Epoch 1559/10000: cost 44.520382 , validation cost 873.933838 
Epoch 1569/10000: cost 46.947266 , validation cost 867.982422 
Epoch 1579/10000: cost 48.078957 , validation cost 872.328674 
Epoch 1589/10000: cost 40.524948 , validation cost 874.847656 
